,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,lon,lat
134,E95315V000,NTUC Fairprice Co-operative Ltd,na,77,1,464/6,CIRCUIT ROAD,370077,103.885399,1.32849
135,E83157K000,NTUC Fairprice Co-operative Ltd,na,934,na,0,EAST COAST ROAD,459125,103.924956,1.312049
136,SE13U91V000,NTUC Fairprice Co-operative Ltd,VILLAGE HOTEL KATONG,30,1,42619,EAST COAST ROAD,428751,103.902914,1.3037749
137,E02096K000,NTUC Fairprice Co-operative Ltd,NTUC FAIRPRICE SUPERMARKET,6,na,0,MARINE PARADE CENTRAL,449411,103.906984,1.30153
138,E98161V000,NTUC Fairprice Co-operative Ltd,na,239/255,na,0,EAST COAST ROAD,428932,103.907988,1.308307
139,SW11A26P000,NTUC Fairprice Co-operative Ltd,"#01-09 & #01-16 PSA BLDG, ALEXANDRA RETAIL CENTRE",460,na,0,ALEXANDRA ROAD,119963,103.801381,1.273673
140,SW04158X000,NTUC Fairprice Co-operative Ltd,DEPOT HEIGHTS SHOPPING CENTRE,108,1,1,DEPOT ROAD,100108,103.810046,1.281156
141,SW11452C000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,78A,1,1,TELOK BLANGAH STREET 32,101078,103.8090239,1.273512
142,SW13245V000,NTUC Fairprice Co-operative Ltd,ONE@KENTRIDGE,1,2,16,LOWER KENT RIDGE ROAD,119082,103.784419,1.293341
143,C02035P000,NTUC Fairprice Co-operative Ltd,na,451,1,307,CLEMENTI AVENUE 3,120451,103.765669,1.312638
144,SW10A16E000,NTUC Fairprice Co-operative Ltd,#B1-12/13/14 THE CLEMENTI MALL,3155,na,0,COMMONWEALTH AVE WEST,129588,103.7643563,1.3150108
145,SW07331C000,SHENG SIONG SUPERMARKET PTE LTD,na,352,1,91&99,CLEMENTI AVENUE 2,120352,103.77153,1.314595
146,SW07481A000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,28,1,83,DOVER CRESCENT,130028,103.781952,1.304381
147,SW12M67E000,SHENG SIONG SUPERMARKET PTE LTD,na,420A,1,1,CLEMENTI AVENUE 1,121420,103.768627,1.309752
148,SW12F58E000,NTUC Fairprice Co-operative Ltd,CLEMENTI AVENUE 2 SHOPPING CENTRE,352,1,141,CLEMENTI AVENUE 2,120352,103.77153,1.314595
149,SW14817E000,SHENG SIONG SUPERMARKET PTE LTD,PENJURU RECREATION CENTRE,27,1,24,PENJURU WALK,608538,103.732623,1.318753
150,SW07209E000,SHENG SIONG SUPERMARKET PTE LTD,na,7,na,0,JURONG WEST AVE 5,649486,103.703404,1.348808
151,SW14951X000,NTUC Fairprice Co-operative Ltd,#02-21 & #03-21 FAIRPRICE HUB,1,na,0,JOO KOON CIRCLE,629117,103.678713,1.327242
152,C02038K000,NTUC Fairprice Co-operative Ltd,JURONG POINT,1,B1,9,JURONG WEST CENTRAL 2,648886,103.706464,1.339874
153,C02041V000,NTUC Fairprice Co-operative Ltd,#01-43A & 01-35,399,na,0,YUNG SHENG ROAD,610399,103.721053,1.3347739
154,C02050X000,SHENG SIONG SUPERMARKET PTE LTD,#01-01A/02,3,1,0,YUAN CHING ROAD,618642,103.724955,1.3259
